country,number
Angola,158937
American Samoa,556
Botswana,77492
Andorra,20155
Bhutan,39786
the Bahamas,4030
Algeria,25268975
Barbados,5740
Brunei,24392
Burkina Faso,314821
Bermuda,17922
Belize,131255
Afghanistan,822180
Armenia,70793
Cameroon,383692
Bahrain,2511323
Burundi,231516
Benin,295035
the British Virgin Islands,17483
Ivory Coast,382965
Austria,3145056
the Democratic Republic of the Congo,2168185
Bosnia and Herzegovina,109048
Costa Rica,99984
Azerbaijan,328632
Chile,1594412
Belgium,1982254
the Dominican Republic,267796
Chad,237213
Colombia,2989644
Bulgaria,1012587
Cyprus,108352
the Cayman Islands,315
Cambodia,677304
Ecuador,930475
Cape Verde,72015
El Salvador,128908
Albania,330075
Dominica,373
the Czech Republic,1905202
Brazil,22849973
the Faroe Islands,16792
Czech Republic,1973402
Bolivia,1446950
Ethiopia,3521568
Honduras,252372
Argentina,3289952
Ghana,977420
Croatia,839103
Haiti,242856
Fiji,77494
Belarus,1360194
Denmark,17383915
Guatemala,709445
Iceland,212318
Jersey,13791
Jamaica,14531
Guyana,15644
Cuba,3373800
Kazakhstan,185928
Kenya,1662738
Jordan,729176
Egypt,13110360
Iran,10976191
Iraq,2853854
Indonesia,18750384
Kiribati,602
South Korea,4442874
Hungary,12997414
Laos,176605
Kyrgyzstan,266372
Guam,20116
China,357508116
Kosovo,161774
Liechtenstein,9192
Japan,64526083
North Korea,4998740
Lesotho,57315
Macau,15630
Lithuania,221966
Madagascar,674240
Liberia,921432
Estonia,520648
Libya,142896
Malta,215162
Kuwait,895408
Malawi,1380302
Latvia,3070149
Montenegro,46688
Mongolia,31662
Monaco,11195
Finland,3373195
Mauritius,50848
Luxembourg,419062
Mozambique,471808
the Isle of Man,1278
Namibia,212345
Lebanon,803965
Morocco,2408657
Greece,4728321
Nicaragua,239530
the Northern Mariana Islands,128116
Moldova,645312
Niue,16
Netherlands,9626126
Oman,318509
Malaysia,4864058
Germany,158688826
Nepal,2118100
the Netherlands,2984126
Mexico,15560171
Papua New Guinea,169796
Panama,71390
Paraguay,482776
Israel,6158661
Peru,445518
France,204128493
Rwanda,127944
Qatar,5414561
Samoa,1988
Australia,79972518
Pakistan,49381550
North Macedonia,351959
San Marino,63381
Hong Kong,14849122
Senegal,1172066
Myanmar,9115760
Poland,148034218
Saudi Arabia,1823093
Slovenia,92918
Solomon Islands,3176
Slovakia,1764549
Puerto Rico,1789850
Suriname,48523
Serbia,1068005
Nigeria,45349104
Tajikistan,46460
Philippines,14981691
Romania,4348914
Syria,648970
Tonga,1650
Tokelau,6
Tanzania,1218268
the Philippines,14759691
Taiwan,7081404
Turkmenistan,29712
Sri Lanka,3044628
Trinidad and Tobago,114385
Portugal,21876807
Tunisia,519820
Singapore,2224592
Uzbekistan,656144
Uganda,1445584
the United Arab Emirates,716589
Russia,35028575
the United States Virgin Islands,17000
Sudan,2218130
Vanuatu,4320
Vietnam,1654290
Yemen,606596
Ukraine,3133150
Zambia,372744
Zimbabwe,6944870
Uruguay,169082
the United States,14049100
Vatican City,21
Turkey,13701461
Spain,26175059
Thailand,9666347
Italy,160070943
Venezuela,4086214
Sweden,5101219
Switzerland,7819955
South Africa,18036047
Norway,2377278
New Zealand,4585068
Ireland,12709146
Canada,52984098
the Republic of Ireland,12690946
India,3658171796
the United Kingdom,118013267
Bangladesh,7700
People's Republic of China,300000000
United Kingdom,182025000
United States,186112000
Republic of China,88000
Dubai,3100
Republic of the Congo,10000
Lahore,31000
Russian Federation,605000
